Record ID,Store Name,Store Street Address,Additonal Address,City,State,Zip Code,Zip4,County,Store Type,Latitude,Longitude,Incentive Program,Grantee Name,x,y
1365239,Publix 1647,905 Memorial Dr SE,,Atlanta,GA,30316,1434,FULTON,Supermarket,33.746536,-84.356743,,,-9390549.675739044,3994818.568926178
1374460,Quick Mart,1815 Mlk Dr SW,,Atlanta,GA,30310,1108,FULTON,Convenience Store,33.750637,-84.446571,,,-9400549.282958023,3995367.6132930275
1384420,CVS Pharmacy 02757,133 Peachtree Street,,Atlanta,GA,30303,    ,FULTON,Other,33.757229,-84.38784,,,-9394011.377944242,3996250.2092821356
1392588,Dollar General 21822,881 Peachtree St NE,,Atlanta,GA,30309,3910,FULTON,Other,33.778656,-84.383865,,,-9393568.88296834,3999119.516878375
1394146,Good Sam Market,1015 Donald Lee Hollowell Pkwy NW,,Atlanta,GA,30318,6653,FULTON,Farmers and Markets,33.773216,-84.420746,,,-9397674.457108287,3998390.973941726
1396620,CVS Pharmacy 4178,895 Ralph David Abernathy Blvd SW,,Atlanta,GA,30310,1800,FULTON,Other,33.738102,-84.417145,,,-9397273.595621942,3993689.502403838
1397609,Garden Market ATL ,209 Edgewood Ave SE,Ste 130,Atlanta,GA,30303,3012,FULTON,Other,33.754051,-84.379875,,,-9393124.718200075,3995824.70171259
1398210,Westlake Food Mart,1677 Donald Lee Hollowell Pkwy NW,,Atlanta,GA,30318,5048,FULTON,Convenience Store,33.773273,-84.442238,,,-9400066.935604416,3998398.6073319325
1410158,L & C Food Mart Llc,1648 Memorial Dr Se,Ste B,Atlanta,GA,30317,2054,DEKALB,Convenience Store,33.747822,-84.333595,,,-9387972.852166163,3994990.736560164
1412480,Texaco Food Mart,1870 Glenwood Ave SE,,Atlanta,GA,30316,2312,DEKALB,Convenience Store,33.740227,-84.326744,,,-9387210.202334737,3993973.9674412557
1412973,Jds Summerhill Variety Deli,559 Martin St SE,,Atlanta,GA,30312,2935,FULTON,Convenience Store,33.739334,-84.384247,,,-9393611.407013824,3993854.424334179
1423559,Bp Food Mart 0,245 Memorial Dr SE,,Atlanta,GA,30312,2140,FULTON,Convenience Store,33.74678,-84.37944,,,-9393076.29422158,3994851.2350595235
1427227,QuikTrip 805,630 10th St NW,,Atlanta,GA,30318,5518,FULTON,Convenience Store,33.781414,-84.408035,,,-9396259.475060813,3999488.895108537
1430670,Edgewood Foodmart Inc.,400 Edgewood Ave SE,,Atlanta,GA,30312,1845,FULTON,Convenience Store,33.75465,-84.374657,,,-9392543.853097115,3995904.9015868893
1441655,Chevron Food Mart,556 Northside Dr SW,,Atlanta,GA,30310,2057,FULTON,Convenience Store,33.740013,-84.407814,,,-9396234.873453347,3993945.3198195742
1443043,Chappell Road Inc,575 Chappell Rd NW,,Atlanta,GA,30318,8175,FULTON,Convenience Store,33.771118,-84.433456,,,-9399089.32783627,3998110.01514798
1449549,Grant Park Farmers Market,630 Boulevard SE,,Atlanta,GA,30312,3556,FULTON,Farmers and Markets,33.737091,-84.368103,,,-9391814.265154457,3993554.166452664
1455842,Virginia Highland Farmers Market,1017 N Highland Ave NE,,Atlanta,GA,30306,3539,FULTON,Farmers and Markets,33.782475,-84.354271,,,-9390274.493957805,3999630.9977335166
1457055,Unearthing Farm & Market,1511 Memorial Dr Se,,Atlanta,GA,30317,1801,DEKALB,Farmers and Markets,33.747211,-84.337975,,,-9388460.431535836,3994908.936530339
1460205,BK Food Mart,196 Peachtree St SW,Ste 105,Atlanta,GA,30303,4619,FULTON,Convenience Store,33.749073,-84.394173,,,-9394716.364279436,3995158.220927232
1463490,Blvd Food Mart,356 Boulevard NE,,Atlanta,GA,30312,1039,FULTON,Convenience Store,33.764336,-84.372383,,,-9392290.712575052,3997201.8341153264
1471450,Morningside Farmers Market,1411 N Morningside Dr NE,,Atlanta,GA,30306,3239,FULTON,Farmers and Markets,33.793488,-84.356255,,,-9390495.351827538,4001106.1028625583
1471638,Bp Food Mart,720 Donald Lee Hollowell Pkwy NW,,Atlanta,GA,30318,6702,FULTON,Convenience Store,33.772827,-84.410759,,,-9396562.709353734,3998338.8795371465
1475266,Cascade Food Mart,787 Cascade Ave SW,,Atlanta,GA,30310,2457,FULTON,Convenience Store,33.733845,-84.437553,,,-9399545.40379005,3993119.656463733
1478376,Peach Mart,218 Peachtree St NW,,Atlanta,GA,30303,1503,FULTON,Convenience Store,33.759911,-84.38826,,,-9394058.132130377,3996609.3188816
1483257,Piedmont Park Green Market,1071 Piedmont Ave NE,,Atlanta,GA,30309,5009,FULTON,Farmers and Markets,33.783863,-84.378632,,,-9392986.348073019,3999816.8990186495
1483892,A & M Corner,1053 Cascade Ave Sw,,Atlanta,GA,30311,    ,FULTON,Convenience Store,33.726437,-84.445534,,,-9400433.84464607,3992128.0821652757
1488769,Chevron Food Mart 0,336 Joseph E Lowery Blvd NW,,Atlanta,GA,30314,3276,FULTON,Convenience Store,33.763786,-84.417717,,,-9397337.270370673,3997128.1864892356
1492683,Pick N Pay,1388 Joseph E Boone Blvd NW,,Atlanta,GA,30314,2049,FULTON,Convenience Store,33.763309,-84.433365,,,-9399079.197762607,3997064.3142943922
